================================================================================
Active Author Analysis Report (All conferences)
================================================================================

Criteria:
  - At least 2 first OR last author positions, OR
  - At least 4 middle author positions

Total papers: 46,004
Total unique authors: 82,387
Active authors: 20,170 (24.5%)
Inactive authors: 62,217 (75.5%)

================================================================================
Active Authors (sorted by total papers)
================================================================================

Rank     Author Name                                        Total    First    Last     Middle  
12099    Zesheng Ye                                         5        0        0        5       
12100    Hui Lin                                            5        0        0        5       
12101    Ofir Lindenbaum                                    5        0        3        2       
12102    Ferenc Huszár                                      5        0        2        3       
12103    Can Chen                                           5        3        0        2       
12104    Aditya Bhaskara                                    5        4        1        0       
12105    Weiwei Lin                                         5        2        1        2       
12106    Mingzhou Liu                                       5        4        0        1       
12107    Eric Eaton                                         5        2        1        2       
12108    Kristian Georgiev                                  5        1        0        4       
12109    Zongyu Wu                                          5        1        0        4       
12110    Kaizheng Wang                                      5        2        2        1       
12111    Gilad Yehudai                                      5        0        0        5       
12112    Long Tran-Thanh                                    5        0        3        2       
12113    Quan Xiao                                          5        3        0        2       
12114    Amirkeivan Mohtashami                              5        3        0        2       
12115    Anvith Thudi                                       5        2        0        3       
12116    Satyapriya Krishna                                 5        4        0        1       
12117    Guy Bar-Shalom                                     5        3        0        2       
12118    Bingcong Li                                        5        3        0        2       
12119    Marton Havasi                                      5        0        0        5       
12120    Nicolas Beltran-Velez                              5        1        0        4       
12121    Deepali Jain                                       5        1        0        4       
12122    Amer Sinha                                         5        0        0        5       
12123    Fan Feng                                           5        1        0        4       
12124    Arto Klami                                         5        0        4        1       
12125    Dvir Samuel                                        5        3        0        2       
12126    Tom Bewley                                         5        1        0        4       
12127    Liuhua Peng                                        5        0        1        4       
12128    Donghu Kim                                         5        1        0        4       
12129    Ananth Grama                                       5        0        1        4       
12130    Jonas Schweisthal                                  5        3        0        2       
12131    Benjamin Feuer                                     5        3        0        2       
12132    Jimmy Olsson                                       5        0        5        0       
12133    Junqiao Zhao                                       5        0        0        5       
12134    Safwan Hossain                                     5        4        0        1       
12135    Gabriele Scalia                                    5        0        1        4       
12136    Ehsan Hajiramezanali                               5        0        2        3       
12137    Abolfazl Hashemi                                   5        0        1        4       
12138    Guorong Wu                                         5        0        3        2       
12139    Ximei Wang                                         5        0        0        5       
12140    Huanyu Zhang                                       5        0        0        5       
12141    Xudong Ma                                          5        0        0        5       
12142    Michele Magno                                      5        0        3        2       
12143    Cong Lu                                            5        2        0        3       
12144    Chenyu Li                                          5        1        0        4       
12145    Tianyuan Jin                                       5        4        0        1       
12146    Vladlen Koltun                                     5        0        4        1       
12147    Rasa Hosseinzadeh                                  5        0        1        4       
12148    Carles Domingo-Enrich                              5        2        0        3       
12149    Ying Fan                                           5        4        0        1       
12150    Zhao-Rong Lai                                      5        1        0        4       
12151    Arnab Bhattacharyya                                5        3        2        0       
12152    Filippo Maria Bianchi                              5        1        4        0       
12153    Zhen-Yu Zhang                                      5        2        0        3       
12154    Alan Malek                                         5        1        0        4       
12155    Jeremias Knoblauch                                 5        0        3        2       
12156    Morteza Monemizadeh                                5        0        3        2       
12157    Ilyas Fatkhullin                                   5        2        1        2       
12158    L. Elisa Celis                                     5        3        1        1       
12159    Shayan Kiyani                                      5        3        0        2       
12160    Zhaohan Daniel Guo                                 5        0        0        5       
12161    Wei-Fang Sun                                       5        0        0        5       
12162    Yanping Huang                                      5        0        0        5       
12163    Lee Cohen                                          5        4        0        1       
12164    Rudrajit Das                                       5        4        0        1       
12165    Benjamin Moseley                                   5        0        0        5       
12166    Kevin Bello                                        5        0        0        5       
12167    Negin Golrezaei                                    5        1        0        4       
12168    Ankit Pensia                                       5        1        0        4       
12169    Lisheng Ren                                        5        0        1        4       
12170    Nikita Doikov                                      5        3        0        2       
12171    Rachel Ward                                        5        1        2        2       
12172    Brian Ichter                                       5        0        2        3       
12173    Rumen Dangovski                                    5        0        0        5       
12174    Vincent Dutordoir                                  5        1        0        4       
12175    Marwa El Halabi                                    5        2        1        2       
12176    Vasilii Feofanov                                   5        1        0        4       
12177    Taoan Huang                                        5        2        0        3       
12178    Monika Henzinger                                   5        0        0        5       
12179    Noah Golowich                                      5        3        0        2       
12180    Rui Gao                                            5        2        0        3       
12181    Michael Kearns                                     5        0        0        5       
12182    Jasper C.H. Lee                                    5        1        0        4       
12183    Benjamin Van Roy                                   5        0        3        2       
12184    Fred Roosta                                        5        0        3        2       
12185    Lunjia Hu                                          5        3        0        2       
12186    Adam Foster                                        5        0        2        3       
12187    Manjie Xu                                          5        2        0        3       
12188    Jin Tian                                           5        0        1        4       
12189    Kevin Tan                                          5        2        0        3       
12190    H. Jin Kim                                         5        0        4        1       
12191    Max Springer                                       5        0        3        2       
12192    Hui Guan                                           5        0        4        1       
12193    Sharan Vaswani                                     5        2        1        2       
12194    Reza Babanezhad Harikandeh                         5        0        2        3       
12195    Asaf Cassel                                        5        2        0        3       
12196    Yingcong Li                                        5        3        0        2       
12197    Jianyi Yang                                        5        2        0        3       
12198    Charlotte Loh                                      5        1        0        4       
12199    Zhimei Ren                                         5        0        2        3       
12200    Bernardo Avila Pires                               5        0        0        5       
12201    Haojun Chen                                        5        1        0        4       
12202    Zakaria Mhammedi                                   5        2        2        1       
12203    Noah Hollmann                                      5        1        0        4       
12204    Devavrat Shah                                      5        0        4        1       
12205    Manuel Gomez Rodriguez                             5        0        5        0       
12206    Edward Pearce-Crump                                5        5        0        0       
12207    Aram-Alexandre Pooladian                           5        2        0        3       
12208    Suchi Saria                                        5        0        3        2       
12209    Anant Raj                                          5        2        0        3       
12210    Chin Pang Ho                                       5        0        3        2       
12211    Shinsaku Sakaue                                    5        2        3        0       
12212    Louis Sharrock                                     5        3        0        2       
12213    Christopher Nemeth                                 5        0        4        1       
12214    Woo Kyung Kim                                      5        1        0        4       
12215    Alexander Soen                                     5        3        0        2       
12216    Hyeonah Kim                                        5        4        0        1       
12217    Eleni Straitouri                                   5        3        0        2       
12218    Johan Suykens                                      5        0        4        1       
12219    Shenghua Wan                                       5        2        0        3       
12220    Yifang Chen                                        5        2        0        3       
12221    Hoi To Wai                                         5        0        3        2       
12222    Thomas Gärtner                                     5        0        3        2       
12223    Shirley Wu                                         5        4        0        1       
12224    Ruicheng Xian                                      5        3        0        2       
12225    Trevor Campbell                                    5        1        4        0       
12226    Andrea Zanette                                     5        1        3        1       
12227    Clayton Scott                                      5        0        3        2       
12228    Marcin Sendera                                     5        2        0        3       
12229    Brooks Paige                                       5        0        0        5       
12230    Marco Bagatella                                    5        2        0        3       
12231    Yatin Dandi                                        5        2        0        3       
12232    Roi Livni                                          5        3        1        1       
12233    Franck Iutzeler                                    5        1        0        4       
12234    Dheeraj Baby                                       5        3        0        2       
12235    Lu Bai                                             5        2        0        3       
12236    Vincent Fortuin                                    5        0        2        3       
12237    Siyang Gao                                         5        0        0        5       
12238    Runjin Chen                                        5        2        0        3       
12239    Mina Dalirrooyfard                                 5        3        0        2       
12240    Sushrut Karmalkar                                  5        0        0        5       
12241    Hechang Chen                                       5        0        1        4       
12242    Ellen Vitercik                                     5        0        1        4       
12243    Lifang He                                          5        0        2        3       
12244    Sifan Yang                                         5        1        0        4       
12245    Agustinus Kristiadi                                5        2        0        3       
12246    Victor Letzelter                                   5        2        1        2       
12247    Baohong Li                                         5        4        0        1       
12248    Chuan Zhou                                         5        0        0        5       
12249    Tongxin Li                                         5        3        0        2       
12250    Neel Guha                                          5        2        0        3       
12251    Matteo Papini                                      5        0        1        4       
12252    Viktor Zaverkin                                    5        1        0        4       
12253    Mathieu Carrière                                   5        1        0        4       
12254    Mehrdad Mahdavi                                    5        0        3        2       
12255    Jiachang Liu                                       5        3        0        2       
12256    Wolfgang Stammer                                   5        1        0        4       
12257    Saber Salehkaleybar                                5        0        0        5       
12258    Sendhil Mullainathan                               5        0        5        0       
12259    Qingyuan Wu                                        5        3        0        2       
12260    Huanhuan Chen                                      5        0        5        0       
12261    Rasmus Pagh                                        5        0        4        1       
12262    Wanyun Xie                                         5        3        0        2       
12263    Jiacong Hu                                         5        3        0        2       
12264    Taehyun Cho                                        5        3        0        2       
12265    Seungyub Han                                       5        0        0        5       
12266    Eric Zhao                                          5        2        3        0       
12267    Theodoros Damoulas                                 5        0        4        1       
12268    Matthias Grossglauser                              5        0        4        1       
12269    Emilie Kaufmann                                    5        0        2        3       
12270    Liangxiao Jiang                                    5        0        0        5       
12271    Zheng Lian                                         5        2        0        3       
12272    Junyan Liu                                         5        3        0        2       
12273    Yury Polyanskiy                                    5        0        1        4       
12274    Ilija Bogunovic                                    5        0        4        1       
12275    Blake Richards                                     5        0        2        3       
12276    man zhou                                           5        1        0        4       
12277    John Dickerson                                     5        1        0        4       
12278    Christopher M De Sa                                5        0        4        1       
12279    Chongxuan LI                                       5        0        2        3       
12280    Peter L. Bartlett                                  5        0        2        3       
12281    Nati Srebro                                        5        0        3        2       
12282    Satinder P. Singh                                  5        0        3        2       
12283    Dorian Baudry                                      5        2        0        3       
12284    Lénaïc Chizat                                      5        1        4        0       
12285    Inbal Talgam-Cohen                                 5        0        2        3       
12286    Marc Finzi                                         5        0        0        5       
12287    Y. Jennifer Sun                                    5        2        2        1       
12288    Ila Fiete                                          5        0        5        0       
12289    Junru Chen                                         5        1        0        4       
12290    Maria-Florina F Balcan                             5        2        0        3       
12291    Kfir Y. Levy                                       5        0        2        3       
12292    Salman H Khan                                      5        0        1        4       
12293    Emmanuel de Bézenac                                5        0        1        4       
12294    Michael Bronstein                                  5        0        0        5       
12295    Simon S. Du                                        5        0        3        2       
12296    David P. Woodruff                                  5        2        1        2       
12297    Hanrui Zhang                                       5        0        2        3       
12298    Anna Rogers                                        4        3        0        1       
12299    Mian Zhang                                         4        2        0        2       
12300    Lifeng Jin                                         4        0        0        4       
12301    Henryk Michalewski                                 4        0        0        4       
12302    Hiroyuki Deguchi                                   4        3        0        1       
12303    Xiaobo Liang                                       4        3        0        1       
12304    Ping Guo                                           4        2        0        2       
12305    Wei Ma                                             4        0        2        2       
12306    Demin Song                                         4        0        0        4       
12307    Shengyu Mao                                        4        0        0        4       
12308    Kexin Yang                                         4        2        0        2       
12309    Xiangpeng Wei                                      4        0        0        4       
12310    Wenge Rong                                         4        0        2        2       
12311    Rong Bao                                           4        2        0        2       
12312    Suma Bhat                                          4        0        3        1       
12313    Benjamin Hoover                                    4        2        0        2       
12314    ChengXiang Zhai                                    4        0        0        4       
12315    Mona Diab                                          4        0        3        1       
12316    Huawen Feng                                        4        3        0        1       
12317    Shreya Pathak                                      4        0        0        4       
12318    Vlado Menkovski                                    4        0        2        2       
12319    Ming Gong                                          4        0        0        4       
12320    Robert Sim                                         4        0        3        1       
12321    Jianfei Yu                                         4        2        0        2       
12322    Irina Piontkovskaya                                4        0        3        1       
12323    Jordan Kodner                                      4        2        0        2       
12324    Jun Shern Chan                                     4        2        0        2       
12325    Yuling Gu                                          4        2        0        2       
12326    Or Honovich                                        4        2        0        2       
12327    Shi Wang                                           4        0        0        4       
12328    Li Guo                                             4        0        2        2       
12329    Weidong Han                                        4        0        0        4       
12330    Iz Beltagy                                         4        0        0        4       
12331    Binxing Fang                                       4        0        2        2       
12332    Ali Modarressi                                     4        2        0        2       
12333    Alex Fabbri                                        4        0        0        4       
12334    Cynthia Gao                                        4        0        0        4       
12335    Vedanuj Goswami                                    4        0        0        4       
12336    Ziqing Yang                                        4        2        0        2       
12337    Shervin Malmasi                                    4        0        2        2       
12338    Ziqiang Cao                                        4        0        0        4       
12339    Yixin Lian                                         4        0        0        4       
12340    Weiqi Wu                                           4        2        0        2       
12341    Fangyuan Xu                                        4        3        0        1       
12342    Kevin Yang                                         4        2        0        2       
12343    Xiyu Liu                                           4        0        0        4       
12344    Vassilina Nikoulina                                4        0        3        1       
12345    Rong Ye                                            4        0        0        4       
12346    Yiduo Guo                                          4        3        0        1       
12347    Letitia Parcalabescu                               4        3        0        1       
12348    Jennifer Hu                                        4        2        1        1       
12349    Jinyuan Fang                                       4        3        0        1       
12350    Ruyi Gan                                           4        0        0        4       
12351    Megh Thakkar                                       4        2        0        2       
12352    Yiran Yang                                         4        2        0        2       
12353    Devamanyu Hazarika                                 4        0        0        4       
12354    Yueqian Wang                                       4        0        0        4       
12355    Wenbin Jiang                                       4        0        0        4       
12356    Shuqian Sheng                                      4        2        0        2       
12357    Ginny Wong                                         4        0        0        4       
12358    Rachel Bawden                                      4        0        2        2       
12359    Yihong Tang                                        4        2        0        2       
12360    Huadong Wang                                       4        0        0        4       
12361    Hou Pong Chan                                      4        0        0        4       
12362    Varun Kanade                                       4        0        2        2       
12363    Anil Bandhakavi                                    4        0        0        4       
12364    Ganesh Ramakrishnan                                4        0        2        2       
12365    Man Lan                                            4        0        0        4       
12366    Ruotian Ma                                         4        3        0        1       
12367    Dan Garrette                                       4        0        0        4       
12368    Leonard Hussenot                                   4        0        0        4       
12369    Nikola Momchev                                     4        0        0        4       
12370    Pedro Rodriguez                                    4        0        0        4       
12371    Seungwhan Moon                                     4        0        2        2       
12372    Xiangdong Zhou                                     4        0        3        1       
12373    Dakuo Wang                                         4        0        2        2       
12374    Shicheng Xu                                        4        4        0        0       
12375    Soyoung Yoon                                       4        3        0        1       
12376    Achille Fokoue                                     4        0        0        4       
12377    Asim Munawar                                       4        0        0        4       
12378    Zichao Wang                                        4        0        0        4       
12379    Aaron Chan                                         4        0        0        4       
12380    Jonas Pfeiffer                                     4        0        0        4       
12381    Xiaofei Xie                                        4        0        0        4       
12382    Hui Wu                                             4        2        0        2       
12383    Alexandra Butoi                                    4        3        0        1       
12384    Fangzhao Wu                                        4        0        0        4       
12385    Ke Zhou                                            4        0        3        1       
12386    Licheng Zhang                                      4        0        0        4       
12387    Jiaxin Guo                                         4        0        0        4       
12388    Yuanchi Zhang                                      4        2        0        2       
12389    Reinald Kim Amplayo                                4        2        0        2       
12390    Dipanjan Das                                       4        0        0        4       
12391    Shashi Narayan                                     4        0        2        2       
12392    Wanjun Zhong                                       4        0        0        4       
12393    Wenjun Hou                                         4        2        0        2       
12394    Ting-Yun Chang                                     4        4        0        0       
12395    Shuheng Liu                                        4        2        0        2       
12396    Navita Goyal                                       4        2        0        2       
12397    Alessandro Moschitti                               4        0        2        2       
12398    Hyundong Cho                                       4        2        0        2       
12399    Marco Tulio Ribeiro                                4        0        2        2       
12400    Genta Winata                                       4        0        0        4       
12401    Lea Frermann                                       4        1        2        1       
12402    Maxime Cordy                                       4        0        2        2       
12403    Chenye Zhao                                        4        3        0        1       
12404    Vincent Perot                                      4        0        0        4       
12405    Sebastin Santy                                     4        2        0        2       
12406    Anne Wu                                            4        2        0        2       
12407    Chenyang Tao                                       4        0        0        4       
12408    Xiaohang Tang                                      4        3        0        1       
12409    Robert Frank                                       4        0        2        2       
12410    Mihai Surdeanu                                     4        0        2        2       
12411    Hai Ye                                             4        2        0        2       
12412    Mohammad Javad Hosseini                            4        2        0        2       
12413    Lovekesh Vig                                       4        0        0        4       
12414    Hongliang He                                       4        3        0        1       
12415    Qihuang Zhong                                      4        2        0        2       
12416    Eyal Shnarch                                       4        0        2        2       
12417    Amit Sheth                                         4        0        0        4       
12418    Tristan Naumann                                    4        0        0        4       
12419    Anjalie Field                                      4        0        2        2       
12420    Wojciech Kryscinski                                4        0        0        4       
12421    Caio Corro                                         4        3        0        1       
12422    Ilia Kulikov                                       4        0        0        4       
12423    Anuoluwapo Aremu                                   4        0        0        4       
12424    Lun-Wei Ku                                         4        1        2        1       
12425    Chang-Tien Lu                                      4        0        4        0       
12426    Shengnan An                                        4        4        0        0       
12427    Qiyu Wu                                            4        2        0        2       
12428    Junmo Kang                                         4        2        0        2       
12429    Zehao Wang                                         4        0        0        4       
12430    Ruichen Li                                         4        0        0        4       
12431    Zhaojiang Lin                                      4        0        0        4       
12432    Akshat Shrivastava                                 4        0        0        4       
12433    Guan-Ting Lin                                      4        3        0        1       
12434    Deokjae Lee                                        4        2        0        2       
12435    Liyan Tang                                         4        3        0        1       
12436    Artem Vazhentsev                                   4        3        0        1       
12437    Akim Tsvigun                                       4        0        0        4       
12438    Zheng Xin Yong                                     4        2        0        2       
12439    Khalid Almubarak                                   4        0        0        4       
12440    Tianshu Zhang                                      4        2        0        2       
12441    Viviana Patti                                      4        0        0        4       
12442    Yuxin He                                           4        2        0        2       
12443    Buzhou Tang                                        4        0        2        2       
12444    Julian Eisenschlos                                 4        0        2        2       
12445    Yiqing Xie                                         4        2        0        2       
12446    Rob Voigt                                          4        0        3        1       
12447    Hongzhi Yin                                        4        0        2        2       
12448    Jingbo Zhu                                         4        0        3        1       
12449    Marco Turchi                                       4        0        4        0       
12450    Zijing Shi                                         4        2        0        2       
12451    Megan Ung                                          4        0        0        4       
12452    Jie Lou                                            4        0        0        4       
12453    Ramakanth Pasunuru                                 4        0        0        4       
12454    Samson Tan                                         4        0        0        4       
12455    Baoxing Huai                                       4        0        2        2       
12456    Viktor Schlegel                                    4        0        0        4       
12457    Minghang Zheng                                     4        3        0        1       
12458    Hailin Jin                                         4        0        0        4       
12459    Daize Dong                                         4        0        0        4       
12460    Thomas Scialom                                     4        0        2        2       
12461    Sina Ahmadi                                        4        3        0        1       
12462    Matthias Lindemann                                 4        3        0        1       
12463    Alon Benhaim                                       4        0        0        4       
12464    Subhabrata Mukherjee                               4        0        0        4       
12465    Shao-Lun Huang                                     4        0        3        1       
12466    Namgyu Ho                                          4        2        0        2       
12467    Ruohong Zhang                                      4        2        0        2       
12468    Nafise Sadat Moosavi                               4        0        4        0       
12469    Ya Guo                                             4        0        0        4       
12470    Belinda Z. Li                                      4        3        0        1       
12471    Saksham Singhal                                    4        0        0        4       
12472    Zhonghua Li                                        4        0        0        4       
12473    Steven Bethard                                     4        0        2        2       
12474    Albert Webson                                      4        0        0        4       
12475    Bonan Min                                          4        0        0        4       
12476    Edward Choi                                        4        0        3        1       
12477    Richard Dufour                                     4        0        2        2       
12478    Hongyu Gong                                        4        0        0        4       
12479    Chitwan Saharia                                    4        0        0        4       
12480    Jason Phang                                        4        2        0        2       
12481    David Heineman                                     4        2        0        2       
12482    Yebowen Hu                                         4        4        0        0       
12483    Hassan Foroosh                                     4        0        0        4       
12484    Laura Kallmeyer                                    4        0        2        2       
12485    Panupong Pasupat                                   4        0        0        4       
12486    Anthony Chen                                       4        2        0        2       
12487    Qi Hu                                              4        0        0        4       
12488    Chengpeng Li                                       4        2        0        2       
12489    Oana Ichim                                         4        0        0        4       
12490    Michael Boratko                                    4        0        0        4       
12491    Sailik Sengupta                                    4        0        0        4       
12492    Ziyao Xu                                           4        2        0        2       
12493    Satya Narayan Shukla                               4        0        0        4       
12494    Sangwon Yu                                         4        2        0        2       
12495    Masato Mita                                        4        2        0        2       
12496    Beibin Li                                          4        0        2        2       
12497    Bingxiang He                                       4        0        0        4       
12498    Ming Qin                                           4        0        0        4       
12499    Guangyuan Shi                                      4        0        0        4       
12500    Yue Guo                                            4        3        0        1       
12501    Qijiong Liu                                        4        0        0        4       
12502    Jiangxing Wang                                     4        3        0        1       
12503    Shichao Sun                                        4        0        0        4       
12504    Haoran Guo                                         4        0        0        4       
12505    Yu Lan                                             4        0        0        4       
12506    Dominik Stammbach                                  4        2        0        2       
12507    Tobias Schimanski                                  4        3        0        1       
12508    Xiaoying Zhang                                     4        3        0        1       
12509    Helen Meng                                         4        0        3        1       
12510    Haoran Ye                                          4        3        0        1       
12511    Jingyi Liu                                         4        0        0        4       
12512    Chunyang Li                                        4        0        0        4       
12513    Xin Xin                                            4        0        0        4       
12514    Junqi Dai                                          4        0        0        4       
12515    Vyas Raina                                         4        3        0        1       
12516    Yuncheng Hua                                       4        0        0        4       
12517    Dayoon Ko                                          4        2        0        2       
12518    Zhengbao Jiang                                     4        2        0        2       
12519    Yuzhong Qu                                         4        0        4        0       
12520    Qiuying Peng                                       4        0        0        4       
12521    Kaitlyn Zhou                                       4        4        0        0       
12522    Xiaochen Wang                                      4        3        0        1       
12523    Kyuhong Shim                                       4        0        0        4       
12524    Se June Joo                                        4        0        0        4       
12525    Yiding Liu                                         4        0        0        4       
12526    Meng Zhao                                          4        0        0        4       
12527    Kun Wei                                            4        0        0        4       
12528    Dieuwke Hupkes                                     4        0        3        1       
12529    Thomas Müller                                      4        0        0        4       
12530    Alon Jacovi                                        4        2        0        2       
12531    Gerard De Melo                                     4        0        2        2       
12532    Muxi Diao                                          4        0        0        4       
12533    David Schlangen                                    4        0        3        1       
12534    Yuanxing Liu                                       4        0        0        4       
12535    Zerui Chen                                         4        3        0        1       
12536    Mengjie Zhao                                       4        0        0        4       
12537    Andreas Bulling                                    4        0        4        0       
12538    Harish Tayyar Madabushi                            4        0        2        2       
12539    Zhonghao Wang                                      4        0        0        4       
12540    Jingbiao Mei                                       4        2        0        2       
12541    Jinghong Chen                                      4        0        0        4       
12542    Hangfan Zhang                                      4        3        0        1       
12543    Yufan Dang                                         4        0        0        4       
12544    Kai Tang                                           4        2        0        2       
12545    Enzhi Zhang                                        4        0        0        4       
12546    Siyang Liu                                         4        3        0        1       
12547    Zechao Li                                          4        0        3        1       
12548    David Stap                                         4        2        0        2       
12549    Ahmed Abdelali                                     4        0        2        2       
12550    Jinglong Gao                                       4        2        0        2       
12551    Saranya Venkatraman                                4        0        0        4       
12552    Mausam .                                           4        0        3        1       
12553    Alexis Palmer                                      4        0        2        2       
12554    Haochen Tan                                        4        2        0        2       
12555    Yunlong Feng                                       4        0        0        4       
12556    Senyu Li                                           4        3        0        1       
12557    Yuan Yang                                          4        2        0        2       
12558    Yuanhe Tian                                        4        3        0        1       
12559    Irene Li                                           4        0        3        1       
12560    Deb Roy                                            4        0        0        4       
12561    Ray Mooney                                         4        0        3        1       
12562    Hamed Zamani                                       4        0        2        2       
12563    Li Lucy                                            4        2        0        2       
12564    Xingyuan Bu                                        4        0        0        4       
12565    Qing He                                            4        0        2        2       
12566    Haoyuan Shi                                        4        0        0        4       
12567    Shengjie Li                                        4        4        0        0       
